cal_S_function with E_thr = 5.0 MeV
T[MeV]	cal_S	cal_S_error
2.490	1.0733605966e-09	5.5099355479e-17
2.500	1.0980452069e-09	5.5422836575e-17
2.510	1.1231650405e-09	5.5757496030e-17
2.520	1.1487254785e-09	5.6103786880e-17
2.530	1.1747319416e-09	5.6462171520e-17
2.540	1.2011898904e-09	5.6833122379e-17
2.550	1.2281048252e-09	5.7217122722e-17
2.560	1.2554822867e-09	5.7614664529e-17
2.570	1.2833278553e-09	5.8026253965e-17
2.580	1.3116471521e-09	5.8452406522e-17
2.590	1.3404458382e-09	5.8893650880e-17
2.600	1.3697296157e-09	5.9350526898e-17
2.610	1.3995042269e-09	5.9823587648e-17
2.620	1.4297754552e-09	6.0313400293e-17
2.630	1.4605491246e-09	6.0820546584e-17
2.640	1.4918311004e-09	6.1345620685e-17
2.650	1.5236272889e-09	6.1889234858e-17
2.660	1.5559436376e-09	6.2452016467e-17
2.670	1.5887861355e-09	6.3034609343e-17
2.680	1.6221608130e-09	6.3637675606e-17
2.690	1.6560737422e-09	6.4261905251e-17
2.700	1.6905310368e-09	6.4908010014e-17
2.710	1.7255388527e-09	6.5576684369e-17
2.720	1.7611033873e-09	6.6268666222e-17
2.730	1.7972308804e-09	6.6984712452e-17
2.740	1.8339276141e-09	6.7725609267e-17
2.750	1.8711999126e-09	6.8492161067e-17
2.760	1.9090541427e-09	6.9285205110e-17
2.770	1.9474967137e-09	7.0105601639e-17
2.780	1.9865340777e-09	7.0954240297e-17
2.790	2.0261727294e-09	7.1832046191e-17
2.800	2.0664192068e-09	7.2739966509e-17
2.810	2.1072800906e-09	7.3671871802e-17
2.820	2.1487620047e-09	7.4624025950e-17
2.830	2.1908716166e-09	7.5607743171e-17
2.840	2.2336156368e-09	7.6624011249e-17
2.850	2.2770008195e-09	7.7673851913e-17
2.860	2.3210339625e-09	7.8758320029e-17
2.870	2.3657219074e-09	7.9878519978e-17
2.880	2.4110715396e-09	8.1035585420e-17
2.890	2.4570897885e-09	8.2230700203e-17
2.900	2.5037836276e-09	8.3465094973e-17
2.910	2.5511600744e-09	8.4740047550e-17
2.920	2.5992261911e-09	8.6056891407e-17
2.930	2.6479890840e-09	8.7417013076e-17
2.940	2.6974559040e-09	8.8821859144e-17
2.950	2.7476338468e-09	9.0272947530e-17
2.960	2.7985301528e-09	9.1771856880e-17
2.970	2.8501521071e-09	9.3320243073e-17
2.980	2.9025070400e-09	9.4919844378e-17
2.990	2.9556023268e-09	9.6572479773e-17
3.000	3.0094453880e-09	9.8280061140e-17
3.010	3.0640436895e-09	1.0004460556e-16
3.020	3.1194047424e-09	1.0186823040e-16
3.030	3.1755361037e-09	1.0375317517e-16
3.040	3.2324453756e-09	1.0570180073e-16
3.050	3.2901402064e-09	1.0771660482e-16
3.060	3.3486282901e-09	1.0979398553e-16
3.070	3.4079173667e-09	1.1193176233e-16
3.080	3.4680152221e-09	1.1412191945e-16
3.090	3.5289296887e-09	1.1635597210e-16
3.100	3.5906686448e-09	1.1866386885e-16
3.110	3.6532400154e-09	1.2104854204e-16
3.120	3.7166517718e-09	1.2346948443e-16
3.130	3.7809119318e-09	1.2585974039e-16
3.140	3.8460285602e-09	1.2827842850e-16
3.150	3.9120097682e-09	1.3076765429e-16
3.160	3.9788637143e-09	1.3332970123e-16
3.170	4.0465986036e-09	1.3596697419e-16
3.180	4.1152226886e-09	1.3860601294e-16
3.190	4.1847442687e-09	1.4123790861e-16
3.200	4.2551716909e-09	1.4393966467e-16
3.210	4.3265133493e-09	1.4671323773e-16
3.220	4.3987776857e-09	1.4956066878e-16
3.230	4.4719731893e-09	1.5248406863e-16
3.240	4.5461083972e-09	1.5548565902e-16
3.250	4.6211918940e-09	1.5856773868e-16
3.260	4.6972323123e-09	1.6162052942e-16
3.270	4.7742383328e-09	1.6462758235e-16
3.280	4.8522186839e-09	1.6770510037e-16
3.290	4.9311821426e-09	1.7085471649e-16
3.300	5.0111375337e-09	1.7407810645e-16
3.310	5.0920937306e-09	1.7737700176e-16
3.320	5.1740596550e-09	1.8074584032e-16
3.330	5.2570442772e-09	1.8410917947e-16
3.340	5.3410566161e-09	1.8738202140e-16
3.350	5.4261057390e-09	1.9072212941e-16
3.360	5.5122007624e-09	1.9409268850e-16
3.370	5.5993508513e-09	1.9724726874e-16
3.380	5.6875652200e-09	2.0045794974e-16
3.390	5.7768531314e-09	2.0372550920e-16
3.400	5.8672238978e-09	2.0705073066e-16
3.410	5.9586868807e-09	2.1043440679e-16
3.420	6.0512514907e-09	2.1387734728e-16
3.430	6.1449271879e-09	2.1738036189e-16
3.440	6.2397234818e-09	2.2094428069e-16
3.450	6.3356499313e-09	2.2456993404e-16
3.460	6.4327161451e-09	2.2825747754e-16
3.470	6.5309317814e-09	2.3200806548e-16
3.480	6.6303065483e-09	2.3546313161e-16
3.490	6.7308502035e-09	2.3896940059e-16
3.500	6.8325725547e-09	2.4232906460e-16
3.510	6.9354834598e-09	6.8938902404e-15
3.520	7.0395928264e-09	6.9084733556e-15
3.530	7.1449106123e-09	6.9230319557e-15
3.540	7.2514468255e-09	6.9375671432e-15
3.550	7.3592115244e-09	6.9520800086e-15
3.560	7.4682148176e-09	6.9665716587e-15
3.570	7.5784668640e-09	6.9810431824e-15
3.580	7.6899778730e-09	6.9954405820e-15
3.590	7.8027581047e-09	7.0094842768e-15
3.600	7.9168178695e-09	7.0235093096e-15
3.610	8.0321675286e-09	7.0375166518e-15
