cal_S_function with E_thr = 15.0 MeV
T[MeV]	cal_S	cal_S_error
2.420	9.1491722039e-10	3.9218730074e-16
2.430	9.5468691029e-10	4.0360575293e-16
2.440	9.9590573960e-10	4.1527180773e-16
2.450	1.0386159789e-09	4.2718845449e-16
2.460	1.0828608080e-09	4.3935870105e-16
2.470	1.1286843279e-09	4.5178557638e-16
2.480	1.1761315732e-09	4.6447212664e-16
2.490	1.2252485231e-09	4.7742141602e-16
2.500	1.2760821146e-09	4.9063652277e-16
2.510	1.3286802537e-09	5.0412054755e-16
2.520	1.3830918280e-09	5.1787660132e-16
2.530	1.4393667185e-09	5.3190781388e-16
2.540	1.4975558121e-09	5.4621732895e-16
2.550	1.5577110134e-09	5.6080830889e-16
2.560	1.6198852573e-09	5.7568392859e-16
2.570	1.6841325210e-09	5.9084737864e-16
2.580	1.7505078361e-09	6.0630186806e-16
2.590	1.8190673015e-09	6.2204995653e-16
2.600	1.8898681071e-09	1.8812644079e-15
2.610	1.9629684985e-09	1.9284628661e-15
2.620	2.0384278609e-09	1.9764853795e-15
2.630	2.1163066840e-09	2.0253389507e-15
2.640	2.1966665862e-09	2.0750305536e-15
2.650	2.2795703269e-09	2.1255671354e-15
2.660	2.3650818192e-09	2.1769556203e-15
2.670	2.4532661422e-09	2.2292029055e-15
2.680	2.5441895535e-09	2.2823158631e-15
2.690	2.6379222098e-09	2.6154181400e-15
2.700	2.7345274109e-09	2.6404925215e-15
2.710	2.8340776697e-09	2.6653167573e-15
2.720	2.9366440829e-09	2.6898837007e-15
2.730	3.0422989881e-09	2.7141863560e-15
2.740	3.1511159764e-09	2.7382178814e-15
2.750	3.2631699055e-09	2.7619715912e-15
2.760	3.3785369115e-09	2.7854409639e-15
2.770	3.4972944221e-09	2.8086196472e-15
2.780	3.6195211690e-09	2.8315014580e-15
2.790	3.7452972003e-09	2.8540563900e-15
2.800	3.8747038937e-09	2.8762967627e-15
2.810	4.0078239682e-09	2.8982220085e-15
2.820	4.1447414978e-09	2.9198266808e-15
2.830	4.2855419233e-09	2.9411055643e-15
2.840	4.4303120653e-09	2.9620535893e-15
2.850	4.5791401368e-09	2.9826658896e-15
2.860	4.7321157560e-09	3.0029378048e-15
2.870	4.8893299586e-09	3.0228648890e-15
2.880	5.0508752107e-09	3.0424429172e-15
2.890	5.2168454215e-09	3.0616678868e-15
2.900	5.3873359557e-09	3.0805360220e-15
2.910	5.5624436464e-09	3.0990437831e-15
2.920	5.7422668078e-09	3.1171878702e-15
2.930	5.9269052476e-09	3.1349652214e-15
2.940	6.1164602796e-09	3.1523730296e-15
2.950	6.3110347369e-09	3.1694087473e-15
2.960	6.5107329837e-09	3.1860700762e-15
2.970	6.7156609288e-09	3.2023522330e-15
2.980	6.9259260377e-09	3.2182506174e-15
2.990	7.1416373451e-09	3.2337687428e-15
3.000	7.3629054681e-09	3.2489054008e-15
3.010	7.5898426183e-09	3.2636596649e-15
3.020	7.8225626146e-09	3.2780144163e-15
3.030	8.0611808958e-09	3.2919708368e-15
3.040	8.3058145331e-09	3.3055407921e-15
3.050	8.5565822427e-09	3.3187243623e-15
3.060	8.8136043984e-09	3.3315219399e-15
3.070	9.0770030441e-09	3.3439342488e-15
3.080	9.3469019063e-09	3.3559623354e-15
3.090	9.6234264068e-09	3.3676075834e-15
3.100	9.9067036749e-09	3.3788717387e-15
3.110	1.0196862560e-08	3.3897568911e-15
3.120	1.0494033645e-08	3.4002655155e-15
3.130	1.0798349256e-08	3.4104004544e-15
3.140	1.1109943478e-08	3.4201649626e-15
3.150	1.1428952166e-08	3.4295626878e-15
3.160	1.1755512957e-08	3.4385977044e-15
3.170	1.2089765282e-08	3.4472745196e-15
3.180	1.2431850380e-08	3.4555981045e-15
3.190	1.2781911309e-08	3.4635738936e-15
3.200	1.3140092959e-08	3.4712078146e-15
3.210	1.3506542064e-08	3.4785063149e-15
3.220	1.3881407212e-08	3.4854763733e-15
3.230	1.4264838864e-08	3.4921255229e-15
3.240	1.4656989357e-08	3.4984619089e-15
3.250	1.5058012924e-08	3.5044942854e-15
3.260	1.5468065702e-08	3.5102320466e-15
3.270	1.5887305743e-08	3.5156853063e-15
3.280	1.6315893032e-08	3.5208648966e-15
3.290	1.6753989493e-08	3.5257824394e-15
3.300	1.7201759003e-08	3.5304503776e-15
3.310	1.7659367406e-08	3.5348820667e-15
3.320	1.8126982522e-08	3.5390658910e-15
3.330	1.8604774159e-08	3.5430165019e-15
3.340	1.9092914129e-08	3.5466540337e-15
3.350	1.9591576255e-08	3.5500664004e-15
3.360	2.0100936384e-08	3.5531788054e-15
3.370	2.0621172402e-08	3.5559141664e-15
3.380	2.1152464241e-08	3.5582488499e-15
3.390	2.1694993895e-08	3.5603936788e-15
3.400	2.2248945426e-08	3.5623633856e-15
3.410	2.2814504984e-08	3.5641734655e-15
3.420	2.3391860810e-08	3.5658402293e-15
3.430	2.3981203254e-08	3.5669853257e-15
3.440	2.4582724781e-08	3.5679044054e-15
3.450	2.5196619988e-08	3.5686837341e-15
3.460	2.5823085611e-08	3.5693390335e-15
3.470	2.6462320539e-08	3.5698866865e-15
3.480	2.7114525823e-08	3.5703438345e-15
3.490	2.7779904690e-08	3.5707283414e-15
3.500	2.8458662552e-08	3.5706747027e-15
3.510	2.9151007017e-08	3.5702040601e-15
3.520	2.9857147903e-08	3.5696511854e-15
3.530	3.0577297245e-08	3.5690321909e-15
3.540	3.1311669309e-08	3.5683637485e-15
3.550	3.2060480603e-08	3.5676624838e-15
3.560	3.2823949884e-08	3.5663453305e-15
3.570	3.3602298174e-08	3.5648315738e-15
3.580	3.4395748767e-08	3.5632808042e-15
3.590	3.5204527242e-08	3.5616489013e-15
3.600	3.6028861472e-08	3.5590294244e-15
3.610	3.6868981635e-08	3.5563595029e-15
3.620	3.7725120225e-08	3.5536536539e-15
3.630	3.8597512064e-08	3.5509267409e-15
3.640	3.9486394307e-08	3.5481939430e-15
3.650	4.0392006458e-08	3.5454708448e-15
3.660	4.1314590379e-08	3.5427733246e-15
3.670	4.2254390298e-08	3.5401176654e-15
3.680	4.3211652820e-08	3.5375204768e-15
3.690	4.4186626938e-08	3.5344897866e-15
3.700	4.5179564043e-08	3.5308294346e-15
3.710	4.6190717933e-08	3.5272269662e-15
3.720	4.7220344821e-08	3.5228861206e-15
3.730	4.8268703351e-08	3.5181678579e-15
3.740	4.9336054600e-08	3.5135241862e-15
3.750	5.0422662093e-08	3.5089720670e-15
3.760	5.1528791809e-08	3.5045287561e-15
3.770	5.2654712194e-08	3.5002119638e-15
3.780	5.3800694167e-08	3.4960396671e-15
3.790	5.4967011132e-08	3.4913150197e-15
3.800	5.6153938984e-08	3.4861028446e-15
3.810	5.7361756122e-08	3.4810748080e-15
3.820	5.8590743455e-08	3.4762500100e-15
3.830	5.9841184411e-08	3.4716479332e-15
3.840	6.1113364950e-08	3.4672884924e-15
3.850	6.2407573566e-08	3.4631920862e-15
3.860	6.3724101302e-08	3.4593795396e-15
3.870	6.5063241754e-08	3.4546255507e-15
3.880	6.6425291083e-08	3.4501167162e-15
3.890	6.7810548020e-08	3.4455913792e-15
3.900	6.9219313877e-08	3.4407003033e-15
3.910	7.0651892555e-08	3.4362126800e-15
3.920	7.2108590550e-08	3.4319843842e-15
3.930	7.3589716965e-08	3.4272592218e-15
3.940	7.5095583512e-08	3.4230248812e-15
3.950	7.6626504527e-08	3.4193036804e-15
3.960	7.8182796971e-08	3.4161163247e-15
3.970	7.9764780441e-08	3.4127323608e-15
3.980	8.1372777180e-08	3.4098822071e-15
3.990	8.3007112078e-08	3.4075742560e-15
4.000	8.4668112686e-08	3.4055181156e-15
4.010	8.6356109219e-08	3.4040060497e-15
4.020	8.8071434563e-08	3.4031856839e-15
4.030	8.9814424287e-08	3.4031134201e-15
4.040	9.1585416642e-08	3.4038175650e-15
4.050	9.3384752575e-08	3.4053275204e-15
4.060	9.5212775733e-08	3.4076741152e-15
4.070	9.7069832468e-08	3.4108893851e-15
4.080	9.8956271846e-08	3.4150067589e-15
4.090	1.0087244565e-07	3.4200610596e-15
4.100	1.0281870840e-07	3.4260887003e-15
4.110	1.0479541732e-07	3.4331275866e-15
4.120	1.0680293241e-07	3.4412174181e-15
4.130	1.0884161638e-07	3.4503996813e-15
4.140	1.1091183471e-07	3.4607178512e-15
4.150	1.1301395562e-07	3.4722175420e-15
4.160	1.1514835012e-07	3.4849467955e-15
4.170	1.1731539194e-07	3.4989329327e-15
4.180	1.1951545763e-07	3.5136904660e-15
4.190	1.2174892648e-07	3.5298468712e-15
4.200	1.2401618059e-07	3.5474619523e-15
4.210	1.2631760482e-07	3.5665997812e-15
4.220	1.2865358684e-07	3.5873293738e-15
4.230	1.3102451711e-07	3.6094870757e-15
4.240	1.3343078890e-07	3.6333427596e-15
4.250	1.3587279828e-07	3.6590225119e-15
4.260	1.3835094411e-07	3.6866256006e-15
4.270	1.4086562811e-07	3.7162638057e-15
4.280	1.4341725477e-07	3.7480653008e-15
4.290	1.4600623144e-07	3.7821795425e-15
4.300	1.4863296828e-07	3.8187860939e-15
4.310	1.5129787827e-07	3.8581081887e-15
4.320	1.5400137723e-07	3.9004386857e-15
4.330	1.5674388384e-07	3.9461942638e-15
4.340	1.5952581960e-07	3.9960638067e-15
4.350	1.6234760884e-07	4.0518035168e-15
4.360	1.6520967877e-07	4.1210547497e-15
4.370	1.6811245942e-07	4.1969022958e-15
4.380	1.7105638369e-07	4.2773483077e-15
4.390	1.7404188734e-07	4.3617742043e-15
4.400	1.7706940896e-07	4.4498421000e-15
4.410	1.8013939003e-07	4.5413359560e-15
4.420	1.8325227488e-07	4.6361063703e-15
4.430	1.8640851071e-07	4.7340446122e-15
4.440	1.8960854758e-07	4.8350691259e-15
4.450	1.9285283842e-07	4.9391175083e-15
4.460	1.9614183904e-07	5.0461412989e-15
4.470	1.9947600810e-07	5.1561027971e-15
4.480	2.0285580716e-07	5.2689726665e-15
4.490	2.0628170064e-07	5.3847282085e-15
4.500	2.0975415583e-07	5.5033520649e-15
4.510	2.1327364292e-07	5.6248314476e-15
4.520	2.1684063496e-07	5.7491573397e-15
4.530	2.2045560788e-07	5.8763238512e-15
4.540	2.2411904049e-07	6.0063278939e-15
4.550	2.2783141449e-07	6.1391688137e-15
4.560	2.3159321445e-07	6.2748478981e-15
4.570	2.3540492782e-07	6.4133683623e-15
4.580	2.3926704494e-07	6.5547349845e-15
4.590	2.4318005902e-07	6.6989542465e-15
4.600	2.4714446617e-07	6.8460336035e-15
4.610	2.5116076534e-07	6.9959821106e-15
4.620	2.5522945840e-07	7.1488096492e-15
4.630	2.5935105009e-07	7.3045270976e-15
4.640	2.6352604801e-07	7.4631466452e-15
4.650	2.6775496266e-07	7.6246808979e-15
4.660	2.7203830740e-07	7.7891435143e-15
4.670	2.7637659847e-07	7.9565490778e-15
4.680	2.8077035499e-07	8.1269125256e-15
4.690	2.8522009894e-07	8.3002499133e-15
4.700	2.8972635519e-07	8.4765776518e-15
4.710	2.9428965146e-07	8.6559128627e-15
4.720	2.9891051834e-07	8.8382734532e-15
4.730	3.0358948930e-07	9.0236777428e-15
4.740	3.0832710065e-07	9.2121446815e-15
4.750	3.1312389158e-07	9.4036938500e-15
4.760	3.1798040413e-07	9.5983453283e-15
4.770	3.2289718319e-07	9.7961197600e-15
