cal_S_function with E_thr = 10.0 MeV
T[MeV]	cal_S	cal_S_error
2.350	1.7486444923e-50	5.8773022664e-57
2.360	1.8034148312e-50	5.9360243912e-57
2.370	1.8595936163e-50	5.9946107512e-57
2.380	1.9172093037e-50	6.0530834921e-57
2.390	1.9762907723e-50	6.1114672067e-57
2.400	2.0368673282e-50	6.1697882904e-57
2.410	2.0989687090e-50	6.2280750196e-57
2.420	2.1626250877e-50	6.2863578810e-57
2.430	2.2278670774e-50	6.3446697144e-57
2.440	2.2947257349e-50	6.4029397760e-57
2.450	2.3632325655e-50	6.4612790866e-57
2.460	2.4334195271e-50	6.5194003844e-57
2.470	2.5053190344e-50	6.5776425778e-57
2.480	2.5789639637e-50	6.6360459804e-57
2.490	2.6543876565e-50	6.6945096598e-57
2.500	2.7316239246e-50	6.7526265315e-57
2.510	2.8107070541e-50	6.8109474221e-57
2.520	2.8916718098e-50	6.8695155635e-57
2.530	2.9745534401e-50	6.9281687901e-57
2.540	3.0593876808e-50	6.9864085902e-57
2.550	3.1462107600e-50	7.0443064562e-57
2.560	3.2350594027e-50	7.1017846417e-57
2.570	3.3259708349e-50	7.1594774028e-57
2.580	3.4189827886e-50	7.2174203592e-57
2.590	3.5141335062e-50	7.2756509977e-57
2.600	3.6114617448e-50	7.3342087679e-57
2.610	3.7110067813e-50	7.3931352120e-57
2.620	3.8128084169e-50	7.4524741447e-57
2.630	3.9169069815e-50	7.5102462474e-57
2.640	4.0233433385e-50	7.5682219406e-57
2.650	4.1321588898e-50	7.6265220497e-57
2.660	4.2433955801e-50	7.6851812152e-57
2.670	4.3570959018e-50	7.7442356023e-57
2.680	4.4733028997e-50	7.8037228759e-57
2.690	4.5920601761e-50	7.8636822675e-57
2.700	4.7134118950e-50	7.9225359494e-57
2.710	4.8374027877e-50	7.9809124806e-57
2.720	4.9640781569e-50	8.0381965082e-57
2.730	5.0934838818e-50	8.0939948882e-57
2.740	5.2256664234e-50	8.1499882840e-57
2.750	5.3606728288e-50	8.2061961720e-57
2.760	5.4985507365e-50	8.2626384201e-57
2.770	5.6393483813e-50	8.3193352304e-57
2.780	5.7831145989e-50	8.3763071580e-57
2.790	5.9298988315e-50	8.4335751212e-57
2.800	6.0797511325e-50	8.4911604825e-57
2.810	6.2327221712e-50	8.5490848681e-57
