cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
2.630	2.2675771135e-08	1.0963744395e-14
2.640	2.3153639490e-08	1.0962056145e-14
2.650	2.3639334112e-08	1.0960614797e-14
2.660	2.4132946941e-08	1.0959423359e-14
2.670	2.4634570578e-08	1.0958484834e-14
2.680	2.5144298293e-08	1.0957802166e-14
2.690	2.5662224022e-08	1.0957378296e-14
2.700	2.6188442371e-08	1.0957216111e-14
2.710	2.6723048619e-08	1.0957318500e-14
2.720	2.7266138716e-08	1.0957688289e-14
2.730	2.7817809290e-08	1.0958328353e-14
2.740	2.8378157644e-08	1.0959241475e-14
2.750	2.8947281761e-08	1.0960430477e-14
2.760	2.9525280305e-08	1.0961898156e-14
2.770	3.0112252623e-08	1.0963647315e-14
2.780	3.0708298744e-08	1.0965680752e-14
2.790	3.1313519386e-08	1.0968001246e-14
2.800	3.1928015954e-08	1.0970611624e-14
2.810	3.2551890544e-08	1.0973514684e-14
2.820	3.3185245940e-08	1.0976713245e-14
2.830	3.3828185625e-08	1.0980210139e-14
2.840	3.4480813772e-08	1.0984008236e-14
2.850	3.5143235255e-08	1.0988110419e-14
2.860	3.5815555644e-08	1.0992519571e-14
2.870	3.6497881211e-08	1.0997238659e-14
2.880	3.7190318930e-08	1.1002270629e-14
2.890	3.7892976480e-08	1.1007618511e-14
2.900	3.8605962243e-08	1.1013285341e-14
2.910	3.9329385312e-08	1.1019274240e-14
2.920	4.0063355488e-08	1.1025588322e-14
2.930	4.0807983281e-08	1.1032230796e-14
2.940	4.1563379918e-08	1.1039204932e-14
2.950	4.2329657336e-08	1.1046514077e-14
2.960	4.3106928191e-08	1.1054161575e-14
2.970	4.3895305856e-08	1.1062150925e-14
2.980	4.4694904424e-08	1.1070485680e-14
2.990	4.5505838709e-08	1.1079169448e-14
3.000	4.6328224249e-08	1.1088205972e-14
3.010	4.7162177303e-08	1.1097599019e-14
3.020	4.8007814862e-08	1.1107352553e-14
3.030	4.8865254640e-08	1.1117470559e-14
3.040	4.9734615084e-08	1.1127957189e-14
3.050	5.0616015371e-08	1.1138816722e-14
3.060	5.1509575409e-08	1.1150053488e-14
3.070	5.2415415845e-08	1.1161672035e-14
3.080	5.3333658059e-08	1.1173677037e-14
3.090	5.4264424168e-08	1.1186073282e-14
3.100	5.5207837033e-08	1.1198865740e-14
3.110	5.6164020251e-08	1.1212059555e-14
3.120	5.7133098165e-08	1.1225660033e-14
3.130	5.8115195860e-08	1.1239672724e-14
3.140	5.9110439170e-08	1.1254103278e-14
3.150	6.0118954672e-08	1.1268957633e-14
3.160	6.1140869696e-08	1.1284241950e-14
3.170	6.2176312321e-08	1.1299962571e-14
3.180	6.3225411378e-08	1.1316126151e-14
3.190	6.4288296452e-08	1.1332739519e-14
3.200	6.5365097883e-08	1.1349809936e-14
3.210	6.6455946767e-08	1.1367344806e-14
3.220	6.7560974961e-08	1.1385351932e-14
3.230	6.8680315078e-08	1.1403676082e-14
3.240	6.9814100494e-08	1.1422402748e-14
3.250	7.0962465350e-08	1.1441607261e-14
3.260	7.2125544547e-08	1.1461297501e-14
3.270	7.3303473755e-08	1.1481481849e-14
3.280	7.4496389410e-08	1.1502168879e-14
3.290	7.5704428717e-08	1.1523367690e-14
3.300	7.6927729650e-08	1.1545087660e-14
3.310	7.8166430957e-08	1.1567338652e-14
3.320	7.9420672155e-08	1.1590131049e-14
3.330	8.0690593540e-08	1.1613475551e-14
3.340	8.1976336181e-08	1.1637383482e-14
3.350	8.3278041925e-08	1.1661866663e-14
3.360	8.4595853396e-08	1.1686937502e-14
3.370	8.5929914001e-08	1.1712609086e-14
3.380	8.7280367925e-08	1.1738895016e-14
3.390	8.8647360139e-08	1.1765809798e-14
3.400	9.0031036396e-08	1.1793368455e-14
3.410	9.1431543234e-08	1.1821587003e-14
3.420	9.2849027979e-08	1.1850482247e-14
3.430	9.4283638744e-08	1.1880071926e-14
3.440	9.5735524432e-08	1.1908527972e-14
3.450	9.7204834736e-08	1.1937482438e-14
3.460	9.8691720141e-08	1.1967205398e-14
3.470	1.0019633193e-07	1.1997718785e-14
3.480	1.0171882216e-07	1.2029045944e-14
3.490	1.0325934372e-07	1.2061211572e-14
3.500	1.0481805026e-07	1.2094233344e-14
3.510	1.0639509625e-07	1.2128136950e-14
3.520	1.0799063695e-07	1.2162960740e-14
3.530	1.0960482842e-07	1.2198655785e-14
3.540	1.1123782753e-07	1.2235142443e-14
3.550	1.1288979194e-07	1.2272314842e-14
3.560	1.1456088013e-07	1.2310000884e-14
3.570	1.1625125137e-07	1.2348681818e-14
3.580	1.1796106574e-07	1.2388028581e-14
3.590	1.1969048413e-07	1.2426620341e-14
3.600	1.2143966825e-07	1.2465347263e-14
3.610	1.2320878058e-07	1.2504951220e-14
3.620	1.2499798446e-07	1.2545456039e-14
3.630	1.2680744402e-07	1.2586887029e-14
3.640	1.2863732418e-07	1.2629270747e-14
3.650	1.3048779071e-07	1.2671355865e-14
3.660	1.3235901018e-07	1.2713212548e-14
3.670	1.3425114997e-07	1.2755918466e-14
3.680	1.3616437829e-07	1.2799493597e-14
3.690	1.3809886414e-07	1.2843958834e-14
3.700	1.4005477738e-07	1.2889336157e-14
3.710	1.4203228864e-07	1.2935648508e-14
3.720	1.4403156942e-07	1.2982920107e-14
3.730	1.4605279200e-07	1.3029554907e-14
3.740	1.4809612952e-07	1.3075154695e-14
3.750	1.5016175589e-07	1.3121546285e-14
3.760	1.5224984590e-07	1.3168744507e-14
3.770	1.5436057514e-07	1.3216764348e-14
3.780	1.5649412001e-07	1.3265621781e-14
3.790	1.5865065776e-07	1.3315333187e-14
3.800	1.6083036645e-07	1.3363070443e-14
3.810	1.6303342498e-07	1.3410780815e-14
3.820	1.6526001307e-07	1.3459189869e-14
3.830	1.6751031127e-07	1.3508306643e-14
3.840	1.6978450097e-07	1.3553602466e-14
3.850	1.7208276437e-07	1.3599213734e-14
3.860	1.7440528451e-07	1.3645356004e-14
3.870	1.7675224527e-07	1.3692033009e-14
3.880	1.7912383135e-07	1.3739248367e-14
3.890	1.8152022829e-07	1.3787005827e-14
3.900	1.8394162245e-07	1.3835309192e-14
3.910	1.8638820104e-07	1.3884162332e-14
3.920	1.8886015211e-07	1.3933569150e-14
3.930	1.9135766451e-07	1.3983533820e-14
3.940	1.9388092795e-07	1.4034060301e-14
3.950	1.9643013299e-07	1.4080578655e-14
3.960	1.9900547099e-07	1.4126878730e-14
3.970	2.0160713417e-07	1.4172846168e-14
3.980	2.0423531558e-07	1.4214631685e-14
3.990	2.0689020911e-07	1.4256780135e-14
4.000	2.0957200948e-07	1.4299292027e-14
4.010	2.1228091225e-07	1.4342167722e-14
4.020	2.1501711383e-07	1.4385407756e-14
4.030	2.1778081145e-07	1.4429012680e-14
4.040	2.2057220318e-07	1.4472983033e-14
4.050	2.2339148795e-07	1.4517319509e-14
4.060	2.2623886550e-07	1.4558208289e-14
4.070	2.2911453643e-07	1.4597699210e-14
4.080	2.3201870217e-07	1.4637554639e-14
4.090	2.3495156498e-07	1.4677773768e-14
4.100	2.3791332798e-07	1.4718355786e-14
4.110	2.4090419512e-07	1.4759300194e-14
4.120	2.4392437117e-07	1.4800606172e-14
4.130	2.4697406177e-07	1.4842273380e-14
4.140	2.5005347339e-07	1.4884072128e-14
4.150	2.5316281332e-07	1.4921325344e-14
4.160	2.5630228970e-07	1.4958987104e-14
4.170	2.5947211153e-07	1.4993392867e-14
4.180	2.6267248862e-07	1.5027620191e-14
4.190	2.6590363163e-07	1.5062325347e-14
4.200	2.6916575205e-07	1.5097501517e-14
4.210	2.7245906223e-07	1.5131438927e-14
4.220	2.7578377533e-07	1.5163432329e-14
4.230	2.7914010537e-07	1.5195979169e-14
4.240	2.8252826720e-07	1.5229067923e-14
4.250	2.8594847649e-07	1.5262688107e-14
4.260	2.8940094977e-07	1.5295219275e-14
4.270	2.9288590440e-07	1.5326942904e-14
4.280	2.9640355856e-07	1.5359252173e-14
4.290	2.9995413130e-07	1.5391484585e-14
4.300	3.0353784247e-07	1.5423206723e-14
4.310	3.0715491276e-07	1.5455019404e-14
4.320	3.1080556371e-07	1.5487327644e-14
4.330	3.1449001769e-07	1.5520229339e-14
4.340	3.1820849789e-07	1.5553711863e-14
4.350	3.2196122833e-07	1.5587763001e-14
4.360	3.2574843388e-07	1.5622371835e-14
4.370	3.2957034023e-07	1.5657528027e-14
4.380	3.3342717389e-07	1.5693222178e-14
4.390	3.3731916222e-07	1.5729445567e-14
4.400	3.4124653339e-07	1.5766190000e-14
4.410	3.4520951641e-07	1.5803447893e-14
4.420	3.4920834110e-07	1.5841212354e-14
4.430	3.5324323813e-07	1.5879476889e-14
4.440	3.5731443897e-07	1.5918235615e-14
4.450	3.6142217593e-07	1.5957483068e-14
4.460	3.6556668214e-07	1.5997214066e-14
4.470	3.6974819154e-07	1.6037424066e-14
4.480	3.7396693891e-07	1.6076921952e-14
4.490	3.7822315983e-07	1.6116087355e-14
4.500	3.8251709071e-07	1.6155763801e-14
4.510	3.8684896879e-07	1.6195945659e-14
4.520	3.9121903209e-07	1.6236627775e-14
4.530	3.9562751948e-07	1.6277805488e-14
4.540	4.0007467063e-07	1.6319474326e-14
4.550	4.0456072602e-07	1.6361630514e-14
4.560	4.0908592694e-07	1.6404270348e-14
4.570	4.1365051550e-07	1.6447390557e-14
4.580	4.1825473460e-07	1.6490988133e-14
4.590	4.2289882798e-07	1.6535060485e-14
4.600	4.2758304015e-07	1.6579604976e-14
4.610	4.3230761644e-07	1.6624619591e-14
4.620	4.3707280298e-07	1.6670102426e-14
4.630	4.4187884670e-07	1.6716051770e-14
4.640	4.4672599534e-07	1.6762466238e-14
4.650	4.5161449742e-07	1.6809344404e-14
4.660	4.5654460228e-07	1.6856685370e-14
4.670	4.6151656002e-07	1.6904488199e-14
4.680	4.6653062157e-07	1.6952752382e-14
4.690	4.7158703862e-07	1.7001477218e-14
4.700	4.7668606367e-07	1.7050662428e-14
4.710	4.8182795000e-07	1.7100308031e-14
4.720	4.8701295167e-07	1.7150413793e-14
4.730	4.9224132354e-07	1.7200980000e-14
4.740	4.9751332123e-07	1.7252006893e-14
4.750	5.0282920116e-07	1.7303494944e-14
4.760	5.0818922051e-07	1.7355444748e-14
4.770	5.1359363724e-07	1.7407856808e-14
4.780	5.1904271011e-07	1.7460732142e-14
4.790	5.2453669860e-07	1.7514071708e-14
4.800	5.3007586301e-07	1.7567809540e-14
4.810	5.3566046438e-07	1.7621857761e-14
4.820	5.4129076451e-07	1.7676366252e-14
4.830	5.4696702599e-07	1.7731336209e-14
4.840	5.5268951215e-07	1.7786769115e-14
4.850	5.5845848708e-07	1.7842666020e-14
4.860	5.6427421563e-07	1.7899028911e-14
4.870	5.7013696340e-07	1.7955859152e-14
4.880	5.7604699674e-07	1.8013158494e-14
4.890	5.8200458276e-07	1.8070928689e-14
4.900	5.8800998930e-07	1.8129171833e-14
4.910	5.9406348496e-07	1.8187889748e-14
4.920	6.0016533906e-07	1.8247049105e-14
4.930	6.0631582169e-07	1.8306627275e-14
4.940	6.1251520364e-07	1.8366683284e-14
4.950	6.1876375645e-07	1.8427219859e-14
4.960	6.2506175241e-07	1.8488238888e-14
4.970	6.3140946450e-07	1.8549742799e-14
4.980	6.3780716646e-07	1.8611734252e-14
4.990	6.4425513272e-07	1.8674215858e-14
5.000	6.5075363846e-07	1.8737190020e-14
5.010	6.5730295955e-07	1.8800659600e-14
5.020	6.6390337260e-07	1.8864627434e-14
5.030	6.7055515491e-07	1.8929096344e-14
5.040	6.7725858449e-07	1.8994068958e-14
5.050	6.8401394007e-07	1.9059548642e-14
5.060	6.9082150107e-07	1.9125538547e-14
5.070	6.9768154761e-07	1.9192041527e-14
5.080	7.0459436051e-07	1.9259060983e-14
5.090	7.1156022127e-07	1.9326600002e-14
5.100	7.1857941210e-07	1.9394662057e-14
5.110	7.2565221588e-07	1.9463250649e-14
5.120	7.3277891617e-07	1.9532369115e-14
5.130	7.3995979724e-07	1.9602020896e-14
5.140	7.4719514400e-07	1.9672210169e-14
5.150	7.5448524205e-07	1.9742940154e-14
5.160	7.6183037765e-07	1.9814214640e-14
5.170	7.6923083776e-07	1.9885677461e-14
5.180	7.7668690995e-07	1.9957282730e-14
5.190	7.8419888249e-07	2.0029449195e-14
5.200	7.9176704429e-07	2.0102180529e-14
5.210	7.9939168492e-07	2.0175480707e-14
5.220	8.0707309460e-07	2.0249353926e-14
5.230	8.1481156418e-07	2.0323804288e-14
5.240	8.2260738517e-07	2.0398836064e-14
5.250	8.3046084971e-07	2.0474453586e-14
5.260	8.3837225057e-07	2.0550660787e-14
5.270	8.4634188117e-07	2.0627462549e-14
5.280	8.5437003553e-07	2.0704863324e-14
5.290	8.6245700832e-07	2.0782867666e-14
5.300	8.7060309481e-07	2.0861480127e-14
5.310	8.7880859090e-07	2.0940705592e-14
5.320	8.8707379309e-07	2.1020548984e-14
5.330	8.9539899850e-07	2.1101015013e-14
5.340	9.0378450484e-07	2.1182108678e-14
5.350	9.1223061043e-07	2.1263835190e-14
5.360	9.2073761420e-07	2.1346199593e-14
5.370	9.2930581563e-07	2.1429206970e-14
5.380	9.3793551484e-07	2.1512862841e-14
5.390	9.4662701251e-07	2.1597172476e-14
5.400	9.5538060988e-07	2.1682141627e-14
5.410	9.6419660881e-07	2.1767775508e-14
5.420	9.7307531169e-07	2.1854079803e-14
5.430	9.8201702151e-07	2.1941060462e-14
5.440	9.9102204180e-07	2.2028723127e-14
5.450	1.0000906767e-06	2.2117073982e-14
5.460	1.0092232308e-06	2.2206118454e-14
5.470	1.0184200093e-06	2.2295863235e-14
5.480	1.0276813180e-06	2.2386314450e-14
5.490	1.0370074633e-06	2.2477477849e-14
5.500	1.0463987518e-06	2.2569360304e-14
5.510	1.0558554910e-06	2.2661968111e-14
5.520	1.0653779888e-06	2.2755308049e-14
5.530	1.0749665536e-06	2.2849386639e-14
5.540	1.0846214944e-06	2.2944210521e-14
5.550	1.0943431206e-06	2.3039786682e-14
5.560	1.1041317421e-06	2.3136122084e-14
5.570	1.1139876695e-06	2.3233223890e-14
5.580	1.1239112137e-06	2.3331099480e-14
5.590	1.1339026863e-06	2.3429755754e-14
5.600	1.1439623991e-06	2.3529200311e-14
5.610	1.1540906646e-06	2.3629440653e-14
5.620	1.1642877958e-06	2.3730484521e-14
5.630	1.1745541062e-06	2.3832339782e-14
5.640	1.1848899095e-06	2.3935014117e-14
5.650	1.1952955202e-06	2.4038515392e-14
5.660	1.2057712530e-06	2.4142852224e-14
5.670	1.2163174234e-06	2.4248032382e-14
5.680	1.2269343470e-06	2.4354064756e-14
5.690	1.2376223400e-06	2.4460957658e-14
5.700	1.2483817191e-06	2.4568719494e-14
5.710	1.2592128014e-06	2.4677359677e-14
5.720	1.2701159044e-06	2.4786886345e-14
5.730	1.2810913460e-06	2.4897309444e-14
5.740	1.2921394446e-06	2.5008637586e-14
5.750	1.3032605190e-06	2.5120880558e-14
5.760	1.3144548885e-06	2.5234047681e-14
5.770	1.3257228727e-06	2.5348148696e-14
5.780	1.3370647916e-06	2.5463193691e-14
5.790	1.3484809656e-06	2.5579192440e-14
5.800	1.3599717156e-06	2.5696155288e-14
5.810	1.3715373629e-06	2.5814092782e-14
5.820	1.3831782290e-06	2.5933015403e-14
5.830	1.3948946359e-06	2.6052933396e-14
5.840	1.4066869060e-06	2.6173858083e-14
5.850	1.4185553621e-06	2.6295801002e-14
