cal_S_function with E_thr = 10.0 MeV
T[MeV]	cal_S	cal_S_error
1.690	1.0310355656e-10	6.2176413051e-18
1.700	1.0801105649e-10	6.4541054984e-18
1.710	1.1310383161e-10	6.6966457424e-18
1.720	1.1838697270e-10	6.9460110131e-18
1.730	1.2386565397e-10	7.2027798489e-18
1.740	1.2954513334e-10	7.4670839466e-18
1.750	1.3543075273e-10	7.7390562060e-18
1.760	1.4152793831e-10	8.0188311778e-18
1.770	1.4784220077e-10	8.3065442931e-18
1.780	1.5437913554e-10	8.6023326996e-18
1.790	1.6114442308e-10	8.9063347923e-18
1.800	1.6814382908e-10	9.2186301545e-18
1.810	1.7538320472e-10	9.5393965392e-18
1.820	1.8286848689e-10	9.8687866459e-18
1.830	1.9060569840e-10	1.0206942877e-17
1.840	1.9860094821e-10	1.0554004203e-17
1.850	2.0686043162e-10	1.0910119601e-17
1.860	2.1539043053e-10	1.1274025823e-17
1.870	2.2419731356e-10	1.1638609760e-17
1.880	2.3328753633e-10	1.2012377684e-17
1.890	2.4266764159e-10	1.2395473752e-17
1.900	2.5234425944e-10	1.2788046151e-17
1.910	2.6232410751e-10	1.3190258733e-17
1.920	2.7261399114e-10	1.3602265490e-17
1.930	2.8322080355e-10	1.4024199674e-17
1.940	2.9415152602e-10	1.4456209762e-17
1.950	3.0541322806e-10	1.4898447424e-17
1.960	3.1701306058e-10	2.9531737109e-16
1.970	3.2895828384e-10	2.8311267420e-16
1.980	3.4125622623e-10	2.7096647242e-16
1.990	3.5391431181e-10	2.5889031872e-16
2.000	3.6694005369e-10	2.4689583815e-16
2.010	3.8034105416e-10	2.3499474089e-16
2.020	3.9412500484e-10	2.2319884216e-16
2.030	4.0829968687e-10	2.1152008232e-16
2.040	4.2287297098e-10	1.9997055159e-16
2.050	4.3785281773e-10	1.8856251705e-16
2.060	4.5324727755e-10	1.7730845555e-16
2.070	4.6906449098e-10	1.6622109163e-16
2.080	4.8531268873e-10	1.5531344130e-16
2.090	5.0200019188e-10	1.4459886518e-16
2.100	5.1913541196e-10	1.3409112813e-16
2.110	5.3672685113e-10	1.2380447526e-16
2.120	5.5478310229e-10	1.1375371919e-16
2.130	5.7331284923e-10	1.0395434748e-16
2.140	5.9232486674e-10	9.4422655947e-17
2.150	6.1182802076e-10	8.5175912479e-17
2.160	6.3183126851e-10	7.6232564847e-17
2.170	6.5234365860e-10	6.7612505927e-17
2.180	6.7337433118e-10	5.9337420843e-17
2.190	6.9493251805e-10	5.1431252399e-17
2.200	7.1702754282e-10	4.3920835155e-17
2.210	7.3966882099e-10	3.6836799083e-17
2.220	7.6286586010e-10	3.0214894556e-17
2.230	7.8662825989e-10	2.4098047356e-17
2.240	8.1096571236e-10	1.8539755006e-17
2.250	8.3588800195e-10	1.3610214097e-17
2.260	8.6140500564e-10	9.4089456253e-18
2.270	8.8752669307e-10	6.0971315528e-18
2.280	9.1426312669e-10	4.0338380661e-18
2.290	9.4162446187e-10	5.1708452832e-18
2.300	9.6962094703e-10	8.3318075768e-18
2.310	9.9826292377e-10	1.2537446235e-17
2.320	1.0275608270e-09	1.7571647102e-17
2.330	1.0575251850e-09	2.3317116061e-17
2.340	1.0881666196e-09	2.9696860489e-17
2.350	1.1194958465e-09	3.6655126164e-17
2.360	1.1515236749e-09	4.4148969871e-17
2.370	1.1842610082e-09	5.2143872153e-17
2.380	1.2177188438e-09	6.0611192905e-17
2.390	1.2519082730e-09	6.9526581771e-17
2.400	1.2868404820e-09	7.8868930336e-17
2.410	1.3225267508e-09	8.8619644987e-17
2.420	1.3589784545e-09	9.8762121856e-17
2.430	1.3962070627e-09	1.0928138992e-16
2.440	1.4342241397e-09	1.2016380349e-16
2.450	1.4730413449e-09	1.3139682559e-16
2.460	1.5126704330e-09	1.4296885586e-16
2.470	1.5531232535e-09	1.5486909334e-16
2.480	1.5944117517e-09	1.6708742746e-16
2.490	1.6365479680e-09	1.7961434799e-16
2.500	1.6795440389e-09	1.9244087134e-16
2.510	1.7234121962e-09	2.0555846739e-16
2.520	1.7681647678e-09	2.1895902271e-16
2.530	1.8138141778e-09	2.3260713666e-16
2.540	1.8603729463e-09	2.4649304272e-16
2.550	1.9078536897e-09	2.6063382263e-16
2.560	1.9562691208e-09	2.7502256871e-16
2.570	2.0056320493e-09	2.8965263406e-16
2.580	2.0559553813e-09	3.0451761202e-16
2.590	2.1072521199e-09	3.1961131588e-16
2.600	2.1595353652e-09	3.3492776550e-16
2.610	2.2128183145e-09	3.5046117155e-16
2.620	2.2671142625e-09	3.6620592704e-16
2.630	2.3224366010e-09	3.8215659081e-16
2.640	2.3787988197e-09	3.9830788393e-16
2.650	2.4362145060e-09	4.1465467597e-16
2.660	2.4946973450e-09	4.3119198372e-16
2.670	2.5542611200e-09	4.4791495808e-16
2.680	2.6149197123e-09	4.6481887998e-16
2.690	2.6766871019e-09	4.8189915750e-16
2.700	2.7395773667e-09	4.9915131769e-16
2.710	2.8036046836e-09	5.1657100549e-16
2.720	2.8687833283e-09	5.3415397423e-16
2.730	2.9351276752e-09	5.5189609103e-16
2.740	3.0026521979e-09	5.6979332130e-16
2.750	3.0713714692e-09	5.8784173897e-16
2.760	3.1413001613e-09	6.0603751138e-16
2.770	3.2124530458e-09	6.2437690766e-16
2.780	3.2848449941e-09	6.4285629022e-16
2.790	3.3584909776e-09	6.6147210978e-16
2.800	3.4334060673e-09	6.8022091647e-16
2.810	3.5096054346e-09	6.9909933875e-16
2.820	3.5871043513e-09	7.1810410407e-16
2.830	3.6659181894e-09	7.3723201722e-16
2.840	3.7460624217e-09	7.5647997035e-16
2.850	3.8275526217e-09	7.7584494267e-16
2.860	3.9104044639e-09	7.9532399106e-16
2.870	3.9946337239e-09	8.1491425542e-16
2.880	4.0802562784e-09	8.3461295884e-16
2.890	4.1672881058e-09	8.5441740264e-16
2.900	4.2557452859e-09	8.7432496999e-16
2.910	4.3456440002e-09	8.9433311802e-16
2.920	4.4370005322e-09	9.1443938554e-16
2.930	4.5298312675e-09	9.3464139180e-16
2.940	4.6241526937e-09	9.5493682780e-16
2.950	4.7199814011e-09	9.7532346687e-16
2.960	4.8173340824e-09	9.9579915463e-16
2.970	4.9162275331e-09	1.0163618216e-15
2.980	5.0166786513e-09	1.0370094655e-15
2.990	5.1187044385e-09	1.0577401648e-15
3.000	5.2223219993e-09	1.0785520775e-15
3.010	5.3275485417e-09	1.0994434407e-15
3.020	5.4344013771e-09	1.1204125561e-15
3.030	5.5428979207e-09	1.1414578167e-15
3.040	5.6530556918e-09	1.1625776862e-15
3.050	5.7648923133e-09	1.1837707103e-15
3.060	5.8784255126e-09	1.2050355129e-15
3.070	5.9936731215e-09	1.2263707913e-15
3.080	6.1106530763e-09	1.2477753333e-15
3.090	6.2293834178e-09	1.2692479966e-15
3.100	6.3498822920e-09	1.2907877317e-15
3.110	6.4721679498e-09	1.3123935568e-15
3.120	6.5962587472e-09	1.3340645950e-15
3.130	6.7221731458e-09	1.3558000321e-15
3.140	6.8499297126e-09	1.3775991540e-15
3.150	6.9795471203e-09	1.3994613296e-15
3.160	7.1110441476e-09	1.4213860212e-15
3.170	7.2444396791e-09	1.4433727727e-15
3.180	7.3797527057e-09	1.4654212263e-15
3.190	7.5170023246e-09	1.4875186206e-15
3.200	7.6562077397e-09	1.5096380819e-15
3.210	7.7973882615e-09	1.5318149580e-15
3.220	7.9405633074e-09	1.5540490599e-15
3.230	8.0857524018e-09	1.5763402914e-15
3.240	8.2329751763e-09	1.5986886484e-15
3.250	8.3822513701e-09	1.6210942236e-15
3.260	8.5336008295e-09	1.6435571988e-15
3.270	8.6870435090e-09	1.6660778734e-15
3.280	8.8425994706e-09	1.6886566321e-15
3.290	9.0002888845e-09	1.7112939791e-15
3.300	9.1601320290e-09	1.7339905153e-15
3.310	9.3221492908e-09	1.7567469648e-15
3.320	9.4863611653e-09	1.7795641616e-15
3.330	9.6527882561e-09	1.8024430643e-15
3.340	9.8214512762e-09	1.8253847563e-15
3.350	9.9923710472e-09	1.8483904452e-15
3.360	1.0165568500e-08	1.8714614765e-15
3.370	1.0341064675e-08	1.8945993395e-15
3.380	1.0518880722e-08	1.9178056682e-15
3.390	1.0699037899e-08	1.9410822415e-15
3.400	1.0881557577e-08	1.9644310203e-15
3.410	1.1066461235e-08	1.9878540974e-15
3.420	1.1253770460e-08	2.0113537802e-15
3.430	1.1443506954e-08	2.0349325369e-15
3.440	1.1635692525e-08	2.0585837942e-15
3.450	1.1830349095e-08	2.0822884196e-15
3.460	1.2027498693e-08	2.1060774860e-15
3.470	1.2227163463e-08	2.1299270200e-15
3.480	1.2429365656e-08	2.1537709610e-15
3.490	1.2634127639e-08	2.1776985045e-15
3.500	1.2841471884e-08	2.2017136589e-15
3.510	1.3051420980e-08	2.2258197839e-15
3.520	1.3263997626e-08	2.2500204223e-15
3.530	1.3479224630e-08	2.2742750888e-15
3.540	1.3697124916e-08	2.2984288035e-15
3.550	1.3917721518e-08	2.3226700452e-15
3.560	1.4141037581e-08	2.3470020347e-15
3.570	1.4367096364e-08	2.3714282131e-15
3.580	1.4595921239e-08	2.3959524152e-15
3.590	1.4827535689e-08	2.4205785712e-15
3.600	1.5061963310e-08	2.4451300665e-15
3.610	1.5299227811e-08	2.4696610810e-15
3.620	1.5539353015e-08	2.4942104679e-15
3.630	1.5782362856e-08	2.5185005899e-15
3.640	1.6028281383e-08	2.5428620070e-15
3.650	1.6277132758e-08	2.5672970265e-15
3.660	1.6528941256e-08	2.5918080347e-15
3.670	1.6783731265e-08	2.6163976050e-15
3.680	1.7041527288e-08	2.6410683693e-15
3.690	1.7302353942e-08	2.6658231297e-15
3.700	1.7566235957e-08	2.6906648189e-15
3.710	1.7833198177e-08	2.7155964827e-15
3.720	1.8103265561e-08	2.7406213540e-15
3.730	1.8376463181e-08	2.7657427883e-15
3.740	1.8652816224e-08	2.7907286428e-15
3.750	1.8932349993e-08	2.8153662279e-15
3.760	1.9215089903e-08	2.8400709624e-15
3.770	1.9501061486e-08	2.8648449204e-15
3.780	1.9790290387e-08	2.8896901963e-15
3.790	2.0082802367e-08	2.9146089924e-15
3.800	2.0378623301e-08	2.9396035904e-15
3.810	2.0677779181e-08	2.9646763810e-15
3.820	2.0980296113e-08	2.9898298091e-15
3.830	2.1286200316e-08	3.0150664384e-15
3.840	2.1595518129e-08	3.0403889568e-15
3.850	2.1908276002e-08	3.0654913420e-15
3.860	2.2224500504e-08	3.0902353919e-15
3.870	2.2544218318e-08	3.1150363170e-15
3.880	2.2867456242e-08	3.1398956949e-15
3.890	2.3194241191e-08	3.1643078216e-15
3.900	2.3524600195e-08	3.1882918571e-15
3.910	2.3858560400e-08	3.2123011047e-15
3.920	2.4196149069e-08	3.2363362227e-15
3.930	2.4537393579e-08	3.2603979192e-15
3.940	2.4882321425e-08	3.2844869155e-15
3.950	2.5230960217e-08	3.3086039915e-15
3.960	2.5583337682e-08	3.3327498924e-15
3.970	2.5939481662e-08	3.3569254740e-15
3.980	2.6299420116e-08	3.3811315997e-15
3.990	2.6663181120e-08	3.4053691763e-15
4.000	2.7030792865e-08	3.4296391439e-15
4.010	2.7402283660e-08	3.4539425700e-15
4.020	2.7777681928e-08	3.4782805630e-15
4.030	2.8157016211e-08	3.5015740044e-15
4.040	2.8540315166e-08	3.5248573927e-15
4.050	2.8927607568e-08	3.5481505054e-15
4.060	2.9318922306e-08	3.5714611521e-15
4.070	2.9714288388e-08	3.5947883876e-15
4.080	3.0113734938e-08	3.6172430473e-15
4.090	3.0517291195e-08	3.6394154673e-15
4.100	3.0924986517e-08	3.6615808639e-15
4.110	3.1336850376e-08	3.6837391465e-15
4.120	3.1752912363e-08	3.7058902603e-15
4.130	3.2173202185e-08	3.7280342530e-15
4.140	3.2597749665e-08	3.7501711889e-15
4.150	3.3026584742e-08	3.7722440820e-15
4.160	3.3459737473e-08	3.7931512065e-15
4.170	3.3897238031e-08	3.8140453933e-15
4.180	3.4339116706e-08	3.8349265431e-15
4.190	3.4785403902e-08	3.8557946178e-15
4.200	3.5236130144e-08	3.8766495483e-15
4.210	3.5691326069e-08	3.8974913588e-15
4.220	3.6151022434e-08	3.9183200164e-15
4.230	3.6615250109e-08	3.9391355369e-15
4.240	3.7084040083e-08	3.9599379239e-15
4.250	3.7557423461e-08	3.9805253950e-15
4.260	3.8035431462e-08	4.0001551089e-15
4.270	3.8518095425e-08	4.0197751050e-15
4.280	3.9005446800e-08	4.0393850884e-15
4.290	3.9497517159e-08	4.0589847506e-15
4.300	3.9994338185e-08	4.0785738618e-15
4.310	4.0495941680e-08	4.0981521471e-15
4.320	4.1002359560e-08	4.1177194415e-15
4.330	4.1513623859e-08	4.1361953582e-15
4.340	4.2029766723e-08	4.1538268451e-15
4.350	4.2550821250e-08	4.1294090913e-14
4.360	4.3076818159e-08	3.3947710204e-14
4.370	4.3607790772e-08	2.7128734569e-14
4.380	4.4143771700e-08	2.0868337498e-14
4.390	4.4684793667e-08	1.5207196629e-14
4.400	4.5230889514e-08	1.0200950034e-14
4.410	4.5782092197e-08	5.9313827729e-15
4.420	4.6338434785e-08	2.5347610105e-15
4.430	4.6899950464e-08	3.1628687668e-16
4.440	4.7466672534e-08	1.0215846409e-15
4.450	4.8038634409e-08	3.7361960255e-15
4.460	4.8615869617e-08	7.4097228798e-15
4.470	4.9198411800e-08	1.1819244860e-14
4.480	4.9786294717e-08	1.6843530936e-14
4.490	5.0379552236e-08	2.2402424365e-14
4.500	5.0978218344e-08	2.8437462386e-14
4.510	5.1582327139e-08	3.4903356986e-14
4.520	5.2191912830e-08	4.1763558363e-14
4.530	5.2807009745e-08	4.8987678923e-14
4.540	5.3427651393e-08	4.4912230999e-15
4.550	5.4053874175e-08	4.5078895278e-15
4.560	5.4685711832e-08	4.5245629587e-15
4.570	5.5323199140e-08	4.5412424699e-15
4.580	5.5966370988e-08	4.5579271620e-15
4.590	5.6615262378e-08	4.5746162340e-15
4.600	5.7269908421e-08	4.5913088974e-15
4.610	5.7930344342e-08	4.6080044436e-15
4.620	5.8596605478e-08	4.6247022241e-15
4.630	5.9268727276e-08	4.6414015904e-15
4.640	5.9946745295e-08	4.6581019772e-15
4.650	6.0630695204e-08	4.6748028739e-15
4.660	6.1320612783e-08	4.6915037386e-15
4.670	6.2016533924e-08	4.7082041598e-15
4.680	6.2718494627e-08	4.7249036917e-15
4.690	6.3426531003e-08	4.7416019332e-15
4.700	6.4140679272e-08	4.7582985181e-15
4.710	6.4860975766e-08	4.7749931470e-15
4.720	6.5587456923e-08	4.7916854973e-15
4.730	6.6320159291e-08	4.8081105750e-15
4.740	6.7059119528e-08	4.8243180753e-15
4.750	6.7804374399e-08	4.8405283554e-15
4.760	6.8555960777e-08	4.8567409747e-15
4.770	6.9313915644e-08	4.8729554693e-15
4.780	7.0078276089e-08	4.8891714920e-15
4.790	7.0849079307e-08	4.9053886783e-15
4.800	7.1626362604e-08	4.9216066950e-15
4.810	7.2410163387e-08	4.9378252262e-15
4.820	7.3200519174e-08	4.9540440506e-15
4.830	7.3997467587e-08	4.9702628712e-15
4.840	7.4801046355e-08	4.9864815296e-15
4.850	7.5611293309e-08	5.0026997776e-15
4.860	7.6428246391e-08	5.0189174256e-15
4.870	7.7251943642e-08	5.0351343467e-15
4.880	7.8082423210e-08	5.0513504286e-15
4.890	7.8919723349e-08	5.0675655238e-15
4.900	7.9763882413e-08	5.0837795623e-15
4.910	8.0614938862e-08	5.0999830452e-15
4.920	8.1472931257e-08	5.1161828876e-15
4.930	8.2337898265e-08	5.1323811964e-15
4.940	8.3209878652e-08	5.1485779944e-15
4.950	8.4088911287e-08	5.1647721203e-15
4.960	8.4975035141e-08	5.1809611650e-15
4.970	8.5868289286e-08	5.1971483958e-15
4.980	8.6768712896e-08	5.2133338199e-15
4.990	8.7676345243e-08	5.2295174660e-15
5.000	8.8591225700e-08	5.2456993335e-15
5.010	8.9513393742e-08	5.2618795543e-15
5.020	9.0442888939e-08	5.2780581316e-15
5.030	9.1379750964e-08	5.2942351985e-15
5.040	9.2324019585e-08	5.3104107842e-15
5.050	9.3275734670e-08	5.3265850385e-15
5.060	9.4234936185e-08	5.3427580214e-15
5.070	9.5201664191e-08	5.3589298876e-15
5.080	9.6175958847e-08	5.3751007822e-15
5.090	9.7157860410e-08	5.3912707690e-15
5.100	9.8147409230e-08	5.4074400482e-15
5.110	9.9144645753e-08	5.4236087742e-15
5.120	1.0014961052e-07	5.4397770768e-15
5.130	1.0116234417e-07	5.4559451261e-15
5.140	1.0218288743e-07	5.4721131260e-15
5.150	1.0321128113e-07	5.4882812535e-15
5.160	1.0424756618e-07	5.5044497178e-15
5.170	1.0529178359e-07	5.5206186637e-15
5.180	1.0634397446e-07	5.5367883484e-15
5.190	1.0740417999e-07	5.5529589751e-15
5.200	1.0847244146e-07	5.5691307644e-15
5.210	1.0954880025e-07	5.5853039046e-15
5.220	1.1063329781e-07	5.6014787102e-15
5.230	1.1172597572e-07	5.6176553608e-15
5.240	1.1282687560e-07	5.6338341225e-15
5.250	1.1393603920e-07	5.6500152253e-15
5.260	1.1505350834e-07	5.6661989669e-15
5.270	1.1617932492e-07	5.6823855836e-15
5.280	1.1731353094e-07	5.6985753493e-15
5.290	1.1845616849e-07	5.7147685488e-15
5.300	1.1960727973e-07	5.7309654710e-15
5.310	1.2076690691e-07	5.7471663953e-15
5.320	1.2193509238e-07	5.7633716319e-15
5.330	1.2311187856e-07	5.7795814495e-15
5.340	1.2429730796e-07	5.7957961965e-15
5.350	1.2549142317e-07	5.8120161334e-15
5.360	1.2669426686e-07	5.8282416198e-15
5.370	1.2790588180e-07	5.8444729726e-15
5.380	1.2912631081e-07	5.8607104954e-15
5.390	1.3035559681e-07	5.8769545624e-15
5.400	1.3159378282e-07	5.8932054829e-15
5.410	1.3284091190e-07	5.9094636217e-15
5.420	1.3409702722e-07	5.9257293316e-15
5.430	1.3536217201e-07	5.9420029246e-15
5.440	1.3663638960e-07	5.9582847933e-15
5.450	1.3791972337e-07	5.9745753346e-15
5.460	1.3921221679e-07	5.9908749183e-15
5.470	1.4051391342e-07	6.0071838698e-15
5.480	1.4182485687e-07	6.0235026310e-15
5.490	1.4314509085e-07	6.0398315743e-15
5.500	1.4447465913e-07	6.0561711212e-15
5.510	1.4581360556e-07	6.0725216371e-15
5.520	1.4716197405e-07	6.0888835332e-15
5.530	1.4851980860e-07	6.1052572873e-15
5.540	1.4988715328e-07	6.1216432578e-15
5.550	1.5126405222e-07	6.1380419050e-15
5.560	1.5265054964e-07	6.1544536300e-15
5.570	1.5404668980e-07	6.1708789231e-15
5.580	1.5545251706e-07	6.1873182276e-15
5.590	1.5686807584e-07	6.2037604166e-15
5.600	1.5829341062e-07	6.2200068343e-15
5.610	1.5972856595e-07	6.2362690149e-15
5.620	1.6117358646e-07	6.2525475274e-15
5.630	1.6262851683e-07	6.2688427406e-15
5.640	1.6409340181e-07	6.2851551428e-15
5.650	1.6556828622e-07	6.3014852260e-15
5.660	1.6705321495e-07	6.3178335029e-15
5.670	1.6854823293e-07	6.3342004350e-15
5.680	1.7005338518e-07	6.3505865881e-15
5.690	1.7156871677e-07	6.3669924379e-15
5.700	1.7309427284e-07	6.3834185207e-15
5.710	1.7463009856e-07	6.3998653431e-15
5.720	1.7617623921e-07	6.4163335057e-15
5.730	1.7773274009e-07	6.4328234950e-15
5.740	1.7929964658e-07	6.4493359026e-15
5.750	1.8087700410e-07	6.4658713676e-15
5.760	1.8246485816e-07	6.4824303739e-15
5.770	1.8406325428e-07	6.4990135381e-15
5.780	1.8567223808e-07	6.5156214704e-15
5.790	1.8729185521e-07	6.5322548150e-15
5.800	1.8892215139e-07	6.5489141685e-15
5.810	1.9056317237e-07	6.5656001634e-15
5.820	1.9221496399e-07	6.5823134568e-15
5.830	1.9387757211e-07	6.5990546760e-15
5.840	1.9555104266e-07	6.6158245448e-15
5.850	1.9723542162e-07	6.6326237041e-15
5.860	1.9893075500e-07	6.6494528130e-15
