cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
2.990	7.1579929432e-49	1.3948715288e-56
3.000	7.3178376368e-49	1.4116847708e-56
3.010	7.4806702734e-49	1.4288404507e-56
3.020	7.6465358448e-49	1.4463344755e-56
3.030	7.8154798550e-49	1.4641634450e-56
3.040	7.9875483241e-49	1.4823244873e-56
3.050	8.1627877921e-49	1.5008153526e-56
3.060	8.3412453227e-49	1.5196342447e-56
3.070	8.5229685075e-49	1.5387797594e-56
3.080	8.7080054696e-49	1.5577167141e-56
3.090	8.8964048678e-49	1.5766366765e-56
3.100	9.0882159346e-49	9.0666336734e-55
3.110	9.2834883433e-49	8.9661233741e-55
3.120	9.4822724170e-49	8.8673538457e-55
3.130	9.6846189962e-49	8.7702896994e-55
3.140	9.8905794769e-49	8.6748963754e-55
3.150	1.0100205814e-48	8.5811402377e-55
3.160	1.0313550527e-48	8.4889884659e-55
3.170	1.0530666701e-48	8.3984090270e-55
3.180	1.0751607994e-48	8.3093707283e-55
3.190	1.0976428639e-48	8.2218431135e-55
3.200	1.1205183449e-48	8.1357964771e-55
3.210	1.1437927818e-48	8.0512018596e-55
3.220	1.1674717732e-48	7.9680310081e-55
3.230	1.1915609766e-48	7.8862563408e-55
3.240	1.2160661090e-48	7.8058509608e-55
3.250	1.2409929476e-48	7.7267886280e-55
3.260	1.2663473299e-48	7.6490437277e-55
3.270	1.2921351543e-48	7.5725912568e-55
3.280	1.3183623803e-48	7.4974068464e-55
3.290	1.3450350291e-48	7.4234666685e-55
3.300	1.3721591839e-48	7.3507475197e-55
3.310	1.3997409905e-48	7.2792251392e-55
3.320	1.4277866575e-48	7.2088786262e-55
3.330	1.4563024567e-48	7.1396865745e-55
3.340	1.4852947239e-48	7.0716278893e-55
3.350	1.5147698587e-48	7.0046819831e-55
3.360	1.5447343254e-48	6.9364037607e-55
3.370	1.5751946534e-48	6.8690850937e-55
3.380	1.6061574373e-48	6.8028971838e-55
3.390	1.6376293377e-48	6.7378189107e-55
3.400	1.6696170812e-48	6.6738296826e-55
3.410	1.7021274613e-48	6.6109094109e-55
3.420	1.7351673385e-48	6.5490385035e-55
3.430	1.7687436408e-48	6.4881978478e-55
3.440	1.8028633640e-48	6.4283688335e-55
3.450	1.8375335726e-48	6.3695332444e-55
3.460	1.8727613994e-48	6.3116733621e-55
3.470	1.9085540469e-48	6.2547719073e-55
3.480	1.9449187870e-48	6.1988120003e-55
3.490	1.9818629615e-48	6.1437771651e-55
3.500	2.0193939830e-48	6.0896513741e-55
3.510	2.0575193349e-48	6.0364189332e-55
3.520	2.0962465719e-48	5.9840645898e-55
3.530	2.1355833205e-48	5.9325734404e-55
3.540	2.1755372793e-48	5.8819309394e-55
3.550	2.2161162198e-48	5.8321217814e-55
3.560	2.2573279864e-48	5.7831155202e-55
3.570	2.2991804968e-48	5.7349152795e-55
3.580	2.3416817430e-48	5.6875078509e-55
3.590	2.3848397911e-48	5.6408803394e-55
3.600	2.4286627820e-48	5.5950201901e-55
3.610	2.4731589320e-48	5.5499151223e-55
3.620	2.5183365327e-48	5.5055531673e-55
3.630	2.5642039522e-48	5.4619226775e-55
3.640	2.6107696347e-48	5.4190122479e-55
3.650	2.6580421016e-48	5.3768107917e-55
3.660	2.7060299517e-48	5.3353074647e-55
3.670	2.7547418612e-48	5.2944917117e-55
3.680	2.8041865851e-48	5.2543532335e-55
3.690	2.8543729567e-48	5.2148819936e-55
3.700	2.9053098883e-48	5.1760681886e-55
3.710	2.9570063721e-48	5.1379022641e-55
3.720	3.0094714800e-48	5.1003749266e-55
3.730	3.0627143643e-48	5.0634771162e-55
3.740	3.1167442580e-48	5.0271999793e-55
3.750	3.1715704757e-48	4.9915348984e-55
3.760	3.2272024133e-48	4.9564734757e-55
3.770	3.2836495490e-48	4.9220075524e-55
3.780	3.3409214435e-48	4.8881291586e-55
3.790	3.3990277404e-48	4.8548305398e-55
3.800	3.4579781666e-48	4.8221041516e-55
3.810	3.5177825332e-48	4.7899426417e-55
3.820	3.5784507350e-48	4.7583388553e-55
3.830	3.6399927519e-48	4.7272858410e-55
3.840	3.7024186487e-48	4.6967768295e-55
3.850	3.7657385757e-48	4.6668052362e-55
3.860	3.8299627691e-48	4.6373646786e-55
3.870	3.8951015517e-48	4.6084489318e-55
3.880	3.9611653329e-48	4.5800519833e-55
3.890	4.0281646093e-48	4.5521679361e-55
3.900	4.0961099651e-48	4.5247911236e-55
3.910	4.1650120727e-48	4.4979160211e-55
3.920	4.2348816929e-48	4.4715372731e-55
3.930	4.3057296754e-48	4.4456496963e-55
3.940	4.3775669591e-48	4.4202482885e-55
3.950	4.4504045727e-48	4.3953281743e-55
3.960	4.5242536352e-48	4.3708846389e-55
3.970	4.5991253558e-48	4.3469131538e-55
3.980	4.6750310350e-48	4.3234093249e-55
3.990	4.7519820646e-48	4.3003688973e-55
4.000	4.8299899280e-48	4.2777878126e-55
4.010	4.9090662010e-48	4.2556621246e-55
4.020	4.9892225520e-48	4.2339880387e-55
4.030	5.0704707423e-48	4.2127619442e-55
4.040	5.1528226267e-48	4.1919803231e-55
4.050	5.2362901538e-48	4.1716398445e-55
4.060	5.3208853665e-48	4.1517373076e-55
4.070	5.4066204022e-48	4.1322696568e-55
4.080	5.4935074936e-48	4.1132339846e-55
4.090	5.5815589684e-48	4.0946275224e-55
4.100	5.6707872506e-48	4.0764476422e-55
4.110	5.7612048600e-48	4.0586918387e-55
4.120	5.8528244133e-48	4.0413577983e-55
4.130	5.9456586241e-48	4.0244433103e-55
4.140	6.0397203034e-48	4.0079463085e-55
4.150	6.1350223601e-48	3.9918648938e-55
4.160	6.2315778010e-48	3.9761972846e-55
4.170	6.3293997319e-48	3.9609418700e-55
4.180	6.4285013570e-48	3.9460971196e-55
4.190	6.5288959803e-48	3.9316617479e-55
4.200	6.6305970052e-48	3.9176345320e-55
4.210	6.7336179353e-48	3.9038990249e-55
4.220	6.8379723746e-48	3.8905441406e-55
4.230	6.9436740280e-48	3.8775867429e-55
4.240	7.0507367014e-48	3.8650259018e-55
4.250	7.1591743027e-48	3.8528607393e-55
4.260	7.2690008411e-48	3.8410906565e-55
4.270	7.3802304287e-48	3.8297150180e-55
4.280	7.4928772797e-48	3.8187334393e-55
4.290	7.6069557118e-48	3.8081456735e-55
4.300	7.7224801458e-48	3.7979515631e-55
4.310	7.8394651062e-48	3.7881511297e-55
4.320	7.9579252216e-48	3.7787445397e-55
4.330	8.0778752252e-48	3.7697321254e-55
4.340	8.1993299547e-48	3.7611143455e-55
4.350	8.3223043531e-48	3.7528918144e-55
4.360	8.4468134688e-48	3.7450652861e-55
4.370	8.5728724558e-48	3.7376357627e-55
4.380	8.7004965745e-48	3.7306043028e-55
4.390	8.8297011917e-48	3.7239722191e-55
4.400	8.9605017807e-48	3.7177328076e-55
4.410	9.0929139224e-48	3.7118738939e-55
4.420	9.2269533046e-48	3.7064179159e-55
4.430	9.3626357233e-48	3.7013668178e-55
4.440	9.4999770823e-48	3.6967227947e-55
4.450	9.6389933938e-48	3.6924881803e-55
4.460	9.7797007790e-48	3.6886655511e-55
4.470	9.9221154676e-48	3.6852576815e-55
4.480	1.0066253799e-47	3.6822675496e-55
4.490	1.0212132222e-47	3.6796984482e-55
4.500	1.0359767296e-47	3.6775537654e-55
4.510	1.0509175689e-47	3.6758372977e-55
4.520	1.0660374181e-47	3.6745529705e-55
4.530	1.0813379662e-47	3.6737050066e-55
4.540	1.0968209134e-47	3.6732544086e-55
4.550	1.1124879709e-47	3.6731958588e-55
4.560	1.1283408612e-47	3.6735819667e-55
4.570	1.1443813178e-47	3.6742599413e-55
4.580	1.1606110857e-47	3.6752180958e-55
4.590	1.1770319210e-47	3.6762158407e-55
4.600	1.1936455908e-47	3.6776681247e-55
