T0	t0/tau	cal_g_function_a	err
6.800000e+00	4.500000e-01	3.7157309035e-06	2.2602907407e-09
6.800000e+00	4.600000e-01	3.7405840042e-06	2.2204413570e-09
6.800000e+00	4.700000e-01	3.7652680850e-06	6.2913264872e-09
6.800000e+00	4.800000e-01	3.7899570959e-06	2.3571810070e-09
6.800000e+00	4.900000e-01	3.8144819603e-06	2.4762614499e-09
6.800000e+00	5.000000e-01	3.8389021332e-06	2.5951048141e-09
6.800000e+00	5.100000e-01	3.8632198297e-06	2.6850608215e-09
6.800000e+00	5.200000e-01	3.8874371844e-06	2.7399239485e-09
6.800000e+00	5.300000e-01	3.9115562563e-06	2.7525503586e-09
6.800000e+00	5.400000e-01	3.9355790323e-06	2.7211983742e-09
6.800000e+00	5.500000e-01	3.9595074311e-06	2.6491347104e-09
6.800000e+00	5.600000e-01	3.9833433063e-06	2.5433054158e-09
6.800000e+00	5.700000e-01	4.0070884501e-06	2.4128311555e-09
6.800000e+00	5.800000e-01	4.0307445959e-06	2.2675963886e-09
6.800000e+00	5.900000e-01	4.0543134211e-06	2.1170667944e-09
6.800000e+00	6.000000e-01	4.0777965500e-06	1.9694503468e-09
6.800000e+00	6.100000e-01	4.1011923009e-06	7.9037330453e-09
6.800000e+00	6.200000e-01	4.1245087857e-06	2.8129911912e-09
6.800000e+00	6.300000e-01	4.1477441553e-06	1.2502527633e-10
6.800000e+00	6.400000e-01	4.1708998428e-06	1.3545599335e-09
6.800000e+00	6.500000e-01	4.1939772377e-06	3.7321043458e-09
6.800000e+00	6.600000e-01	4.2169776893e-06	5.9477657222e-09
6.800000e+00	6.700000e-01	4.2399025076e-06	7.5611363971e-09
6.800000e+00	6.800000e-01	4.2627529663e-06	8.3703529189e-09
6.800000e+00	6.900000e-01	4.2855111186e-06	6.3705607762e-09
6.800000e+00	7.000000e-01	4.3082357257e-06	7.5140612714e-09
6.800000e+00	7.100000e-01	4.3308704042e-06	6.0834275200e-09
6.800000e+00	7.200000e-01	4.3534354814e-06	4.2685575182e-09
6.800000e+00	7.300000e-01	4.3759320692e-06	2.3545123876e-09
6.800000e+00	7.400000e-01	4.3983612504e-06	6.9715060424e-10
6.800000e+00	7.500000e-01	4.4207240798e-06	1.4850484959e-10
6.800000e+00	7.600000e-01	4.4430215848e-06	1.6418966942e-09
6.800000e+00	7.700000e-01	4.4652547667e-06	3.9788677885e-09
6.800000e+00	7.800000e-01	4.4874246012e-06	6.8411004716e-09
6.800000e+00	7.900000e-01	4.5095320393e-06	9.9904570783e-09
6.800000e+00	8.000000e-01	4.5315780084e-06	1.3196511689e-08
6.800000e+00	8.100000e-01	4.5535654967e-06	9.9679752214e-10
6.800000e+00	8.200000e-01	4.5754911740e-06	9.6156296353e-10
6.800000e+00	8.300000e-01	4.5973580320e-06	9.2685375584e-10
6.800000e+00	8.400000e-01	4.6191669130e-06	8.9329356796e-10
6.800000e+00	8.500000e-01	4.6409186395e-06	8.6139654747e-10
6.800000e+00	8.600000e-01	4.6626140153e-06	8.3155217066e-10
6.800000e+00	8.700000e-01	4.6842538259e-06	8.0249925111e-10
6.800000e+00	8.800000e-01	4.7058388389e-06	7.7588178997e-10
6.800000e+00	8.900000e-01	4.7273698051e-06	7.5180762002e-10
6.800000e+00	9.000000e-01	4.7488474584e-06	7.3018217164e-10
6.800000e+00	9.100000e-01	4.7702725169e-06	7.1083587328e-10
6.800000e+00	9.200000e-01	4.7916456829e-06	6.9354347526e-10
6.800000e+00	9.300000e-01	4.8129659788e-06	1.3177679251e-08
6.800000e+00	9.400000e-01	4.8342374303e-06	1.0613347356e-08
6.800000e+00	9.500000e-01	4.8554590080e-06	8.1534085682e-09
