T0	t0/tau	cal_g_function_a	err
7.000000e+00	4.000000e-02	2.7888257196e-06	3.7712618169e-09
7.000000e+00	5.000000e-02	2.8378270869e-06	3.2620913779e-09
7.000000e+00	6.000000e-02	2.8856849117e-06	8.9791755652e-09
7.000000e+00	7.000000e-02	2.9324366792e-06	9.2784936522e-09
7.000000e+00	8.000000e-02	2.9783220117e-06	5.8488658286e-09
7.000000e+00	9.000000e-02	3.0233926831e-06	1.2692350093e-09
7.000000e+00	1.000000e-01	3.0677169450e-06	9.1969630009e-09
7.000000e+00	1.100000e-01	3.1113570904e-06	6.2094204436e-09
7.000000e+00	1.200000e-01	3.1543643869e-06	1.5758850141e-09
7.000000e+00	1.300000e-01	3.1967809911e-06	1.0823249676e-08
7.000000e+00	1.400000e-01	3.2386526775e-06	5.8317760322e-09
7.000000e+00	1.500000e-01	3.2800047306e-06	1.1890465136e-08
7.000000e+00	1.600000e-01	3.3208708560e-06	6.6534481858e-10
7.000000e+00	1.700000e-01	3.3612786470e-06	1.4252551764e-08
7.000000e+00	1.800000e-01	3.4012507143e-06	6.0379719482e-09
7.000000e+00	1.900000e-01	3.4408094199e-06	9.3126107822e-10
7.000000e+00	2.000000e-01	3.4799746124e-06	6.9238765628e-10
7.000000e+00	2.100000e-01	3.5187662110e-06	1.1524232566e-08
7.000000e+00	2.200000e-01	3.5571953952e-06	3.2211494014e-09
7.000000e+00	2.300000e-01	3.5952828503e-06	3.0891127416e-09
7.000000e+00	2.400000e-01	3.6330408676e-06	2.4183515896e-09
7.000000e+00	2.500000e-01	3.6704825067e-06	1.6145032074e-09
7.000000e+00	2.600000e-01	3.7076198999e-06	9.4673190519e-10
7.000000e+00	2.700000e-01	3.7444643476e-06	4.9297967282e-10
7.000000e+00	2.800000e-01	3.7810277490e-06	9.9468762213e-09
7.000000e+00	2.900000e-01	3.8173171795e-06	7.9674965192e-10
7.000000e+00	3.000000e-01	3.8533433465e-06	3.3053338109e-09
7.000000e+00	3.100000e-01	3.8891149746e-06	9.4794708344e-09
7.000000e+00	3.200000e-01	3.9246402646e-06	1.4352945117e-08
7.000000e+00	3.300000e-01	3.9599260638e-06	3.8403616159e-11
7.000000e+00	3.400000e-01	3.9949814829e-06	4.1233977184e-11
7.000000e+00	3.500000e-01	4.0298124857e-06	4.1189480573e-11
7.000000e+00	3.600000e-01	4.0644263477e-06	1.2146224966e-08
7.000000e+00	3.700000e-01	4.0988277797e-06	8.8623410617e-09
7.000000e+00	3.800000e-01	4.1330234587e-06	5.8068436906e-09
7.000000e+00	3.900000e-01	4.1670190010e-06	3.3277698939e-09
7.000000e+00	4.000000e-01	4.2008197551e-06	1.5663954505e-09
7.000000e+00	4.100000e-01	4.2344308210e-06	5.0433794004e-10
7.000000e+00	4.200000e-01	4.2678570665e-06	3.2768995044e-11
7.000000e+00	4.300000e-01	4.3011031428e-06	1.2204344476e-10
7.000000e+00	4.400000e-01	4.3341766698e-06	9.1655384088e-11
7.000000e+00	4.500000e-01	4.3670723923e-06	3.2238045232e-10
7.000000e+00	4.600000e-01	4.3998039055e-06	2.5709642970e-10
7.000000e+00	4.700000e-01	4.4323719519e-06	1.3580333489e-10
7.000000e+00	4.800000e-01	4.4647802881e-06	2.3454980241e-11
7.000000e+00	4.900000e-01	4.4970325229e-06	3.8487994822e-11
7.000000e+00	5.000000e-01	4.5291321249e-06	1.6382116933e-10
7.000000e+00	5.100000e-01	4.5610824313e-06	3.0883033832e-10
7.000000e+00	5.200000e-01	4.5928866546e-06	4.3678876197e-10
7.000000e+00	5.300000e-01	4.6245478900e-06	5.2475971481e-10
7.000000e+00	5.400000e-01	4.6560691195e-06	5.6233183705e-10
7.000000e+00	5.500000e-01	4.6874532208e-06	5.4995309731e-10
7.000000e+00	5.600000e-01	4.7187029711e-06	4.9613141049e-10
7.000000e+00	5.700000e-01	4.7498210520e-06	4.1409312126e-10
7.000000e+00	5.800000e-01	4.7808100549e-06	3.1856094253e-10
7.000000e+00	5.900000e-01	4.8116724849e-06	2.2312867866e-10
7.000000e+00	6.000000e-01	4.8424121902e-06	8.1946349809e-09
7.000000e+00	6.100000e-01	4.8730285830e-06	7.9221492698e-12
7.000000e+00	6.200000e-01	4.9035254627e-06	7.2880864431e-09
7.000000e+00	6.300000e-01	4.9339037885e-06	2.0704339596e-12
7.000000e+00	6.400000e-01	4.9641681922e-06	7.7349762405e-12
7.000000e+00	6.500000e-01	4.9943194598e-06	2.1675004143e-11
7.000000e+00	6.600000e-01	5.0243595961e-06	3.1813059342e-11
7.000000e+00	6.700000e-01	5.0542905468e-06	3.5903691087e-11
7.000000e+00	6.800000e-01	5.0841142006e-06	3.4233882211e-11
7.000000e+00	6.900000e-01	5.1138323921e-06	2.8346666761e-11
7.000000e+00	7.000000e-01	5.1434469033e-06	2.0270536346e-11
7.000000e+00	7.100000e-01	5.1729594671e-06	1.1982063004e-11
7.000000e+00	7.200000e-01	5.2023717677e-06	5.0848843903e-12
7.000000e+00	7.300000e-01	5.2316854424e-06	7.3179406505e-13
7.000000e+00	7.400000e-01	5.2609020861e-06	1.0447338369e-12
7.000000e+00	7.500000e-01	5.2900240801e-06	1.1018320041e-08
7.000000e+00	7.600000e-01	5.3190512261e-06	4.4163874080e-09
