Ev[MeV]	Aeff[MeV-2]
18.916	8299573504.8429594040
19.016	8412926484.1602468491
19.116	8526226759.0488662720
19.216	8639482805.6042671204
19.316	8752703238.4376049042
19.416	8865896779.3436145782
19.516	8979072228.2473049164
19.616	9092238436.3237094879
19.716	9205404281.1909904480
19.816	9318578644.0736618042
19.916	9431770388.8379344940
20.016	9544988342.8001270294
20.116	9658241279.2143001556
20.216	9771537901.3435344696
20.316	9884886828.0270404816
20.416	9998296580.6543655396
20.516	10111775571.4614658356
20.616	10225332093.0682792664
20.716	10338974309.1789455414
20.816	10452710246.3694114685
20.916	10566547786.8896446228
21.016	10680494662.4136600494
21.116	10794558448.6688365936
21.216	10908746560.8847255707
21.316	11023066249.9993171692
21.416	11137524599.5683288574
21.516	11252128523.3230571747
21.616	11366884763.3258724213
21.716	11481799888.6760311127
21.816	11596880294.7204456329
21.916	11712132202.7271690369
22.016	11827561659.9802570343
22.116	11943174540.2602844238
22.216	12058976544.6737155914
22.316	12174973202.7988262177
22.416	12291169874.1164646149
22.516	12407571749.6973304749
22.616	12524183854.1190624237
22.716	12641011047.5864467621
22.816	12758058028.2329063416
22.916	12875329334.5810680389
23.016	12992829348.1411972046
23.116	13110562296.1304721832
23.216	13228532254.2938652039
23.316	13346743149.8125190735
23.416	13465198764.2832889557
23.516	13583902736.7565288544
23.616	13702858566.8198585510
23.716	13822069617.7157001495
23.816	13941539119.4834308624
23.916	14061270172.1142311096
24.016	14181265748.7128124237
24.116	14301528698.6557960510
24.216	14422061750.7409477234
24.316	14542867516.3195018768
24.416	14663948492.4069690704
24.516	14785307064.7667484283
24.616	14906945510.9613056183
24.716	15028866003.3675346375
24.816	15151070612.1521720886
24.916	15273561308.2041873932
25.016	15396339966.0209236145
25.116	15519408366.5463142395
25.216	15642768199.9582805634
25.316	15766421068.4041690826
25.416	15890368488.6818752289
25.516	16014611894.8665752411
25.616	16139152640.8812599182
25.716	16263992003.0106563568
25.816	16389131182.3577919006
25.916	16514571307.2431144714
26.016	16640313435.5462036133
26.116	16766358556.9892921448
26.216	16892707595.3634548187
26.316	17019361410.6974010468
26.416	17146320801.3696136475
26.516	17273586506.1634407043
26.616	17401159206.2668991089
26.716	17529039527.2166519165
26.816	17657228040.7882843018
26.916	17785725266.8317565918
27.016	17914531675.0548973083
27.116	18043647686.7542800903
27.216	18173073676.4954223633
27.316	18302809973.7426643372
27.416	18432856864.4396934509
27.516	18563214592.5424652100
27.616	18693883361.5046195984
27.716	18824863335.7169837952
27.816	18956154641.9020347595
27.916	19087757370.4648361206
28.016	19219671576.8001594543
28.116	19351897282.5591163635
28.216	19484434476.8736763000
28.316	19617283117.5430946350
28.416	19750443132.1799774170
28.516	19883914419.3201560974
28.616	20017696849.4953269958
28.716	20151790266.2705078125
28.816	20286194487.2466659546
28.916	20420909305.0299797058
29.016	20555934488.1685638428
29.116	20691269782.0578117371
29.216	20826914909.8145408630
29.316	20962869573.1216239929
29.416	21099133453.0447082520
29.516	21235706210.8190994263
29.616	21372587488.6115493774
29.716	21509776910.2541351318
29.816	21647274081.9546775818
29.916	21785078592.9803352356
30.016	21923190016.3189964294
30.116	22061607909.3170509338
30.216	22200331814.2953529358
30.316	22339361259.1425437927
30.416	22478695757.8885421753
30.516	22618334811.2579689026
30.616	22758277907.2029762268
30.716	22898524521.4182167053
30.816	23039074117.8372459412
30.916	23179926149.1117401123
31.016	23321080057.0727043152
31.116	23462535273.1765289307
31.216	23604291218.9338760376
31.316	23746347306.3249511719
31.416	23888702938.1980400085
31.516	24031357508.6548347473
31.616	24174310403.4222106934
31.716	24317561000.2102890015
31.816	24461108669.0570869446
31.916	24604952772.6620216370
32.016	24749092666.7062149048
32.116	24893527700.1625251770
32.216	25038257215.5929565430
32.316	25183280549.4364852905
32.416	25328597032.2863311768
32.516	25474205989.1564979553
32.616	25620106739.7395095825
32.716	25766298598.6548194885
32.816	25912780875.6872634888
32.916	26059552876.0181541443
33.016	26206613900.4470405579
33.116	26353963245.6060066223
33.216	26501600204.1663398743
33.316	26649524065.0365562439
33.416	26797734113.5548362732
33.516	26946229631.6733856201
33.616	27095009898.1364135742
