,Emeas[MeV],DiffRate[s-1MeV-1],Spectrum[MeV-1]
226,0.226,7.52806e-05,0.002258418
227,0.227,7.52626e-05,0.002257878
228,0.228,7.52446e-05,0.0022573380000000002
229,0.229,7.52267e-05,0.0022568009999999997
230,0.23,7.52088e-05,0.002256264
231,0.231,7.51909e-05,0.002255727
232,0.232,7.51731e-05,0.002255193
233,0.233,7.51552e-05,0.002254656
234,0.234,7.51374e-05,0.002254122
235,0.235,7.51196e-05,0.002253588
236,0.236,7.51019e-05,0.0022530569999999997
237,0.237,7.50842e-05,0.002252526
238,0.238,7.50665e-05,0.0022519949999999997
239,0.239,7.50488e-05,0.0022514640000000003
240,0.24,7.50311e-05,0.002250933
241,0.241,7.50135e-05,0.002250405
242,0.242,7.49959e-05,0.002249877
243,0.243,7.49783e-05,0.002249349
244,0.244,7.49607e-05,0.002248821
245,0.245,7.49432e-05,0.0022482960000000003
246,0.246,7.49257e-05,0.002247771
247,0.247,7.49082e-05,0.002247246
248,0.248,7.48908e-05,0.002246724
249,0.249,7.48733e-05,0.002246199
250,0.25,7.48559e-05,0.0022456769999999997
251,0.251,7.48385e-05,0.002245155
252,0.252,7.48212e-05,0.002244636
253,0.253,7.48038e-05,0.0022441139999999997
254,0.254,7.47865e-05,0.002243595
255,0.255,7.47692e-05,0.002243076
256,0.256,7.4752e-05,0.00224256
257,0.257,7.47347e-05,0.002242041
258,0.258,7.47175e-05,0.0022415250000000003
259,0.259,7.47003e-05,0.002241009
260,0.26,7.46832e-05,0.0022404960000000002
261,0.261,7.4666e-05,0.0022399800000000004
262,0.262,7.46489e-05,0.002239467
263,0.263,7.46318e-05,0.002238954
264,0.264,7.46148e-05,0.002238444
265,0.265,7.45977e-05,0.002237931
266,0.266,7.45807e-05,0.002237421
267,0.267,7.45637e-05,0.0022369110000000003
268,0.268,7.45467e-05,0.002236401
269,0.269,7.45298e-05,0.002235894
270,0.27,7.45129e-05,0.002235387
271,0.271,7.4496e-05,0.00223488
272,0.272,7.44791e-05,0.002234373
273,0.273,7.44623e-05,0.002233869
274,0.274,7.44454e-05,0.002233362
275,0.275,7.44286e-05,0.002232858
276,0.276,7.44119e-05,0.002232357
277,0.277,7.43951e-05,0.0022318530000000002
278,0.278,7.43784e-05,0.002231352
279,0.279,7.43617e-05,0.002230851
280,0.28,7.4345e-05,0.00223035
281,0.281,7.43284e-05,0.002229852
282,0.282,7.43118e-05,0.0022293540000000002
283,0.283,7.42952e-05,0.0022288560000000004
284,0.284,7.42786e-05,0.0022283579999999997
285,0.285,7.4262e-05,0.00222786
286,0.286,7.42455e-05,0.002227365
287,0.287,7.4229e-05,0.0022268699999999997
288,0.288,7.42125e-05,0.002226375
289,0.289,7.4196e-05,0.0022258800000000004
290,0.29,7.41796e-05,0.002225388
291,0.291,7.41632e-05,0.002224896
292,0.292,7.41468e-05,0.002224404
293,0.293,7.41305e-05,0.002223915
294,0.294,7.41141e-05,0.002223423
295,0.295,7.40978e-05,0.0022229339999999998
296,0.296,7.40815e-05,0.002222445
297,0.297,7.40653e-05,0.002221959
298,0.298,7.4049e-05,0.0022214699999999997
299,0.299,7.40328e-05,0.002220984
300,0.3,7.40166e-05,0.002220498
301,0.301,7.40005e-05,0.002220015
302,0.302,7.39843e-05,0.002219529
303,0.303,7.39682e-05,0.0022190459999999997
304,0.304,7.39521e-05,0.0022185630000000002
305,0.305,7.3936e-05,0.0022180800000000003
306,0.306,7.392e-05,0.0022176
307,0.307,7.3904e-05,0.00221712
308,0.308,7.3888e-05,0.0022166399999999998
309,0.309,7.3872e-05,0.00221616
310,0.31,7.3856e-05,0.0022156800000000003
311,0.311,7.38401e-05,0.0022152030000000002
312,0.312,7.38242e-05,0.002214726
313,0.313,7.38083e-05,0.002214249
314,0.314,7.37925e-05,0.002213775
315,0.315,7.37767e-05,0.002213301
316,0.316,7.37609e-05,0.0022128269999999997
317,0.317,7.37451e-05,0.002212353
318,0.318,7.37293e-05,0.0022118790000000004
319,0.319,7.37136e-05,0.002211408
320,0.32,7.36979e-05,0.002210937
321,0.321,7.36822e-05,0.0022104660000000003
322,0.322,7.36665e-05,0.002209995
323,0.323,7.36509e-05,0.0022095269999999998
324,0.324,7.36353e-05,0.002209059
325,0.325,7.36197e-05,0.0022085909999999998
326,0.326,7.36041e-05,0.002208123
327,0.327,7.35886e-05,0.002207658
328,0.328,7.35731e-05,0.002207193
329,0.329,7.35576e-05,0.0022067280000000002
330,0.33,7.35421e-05,0.002206263
331,0.331,7.35266e-05,0.002205798
332,0.332,7.35112e-05,0.002205336
333,0.333,7.34958e-05,0.002204874
334,0.334,7.34804e-05,0.0022044119999999998
335,0.335,7.34651e-05,0.002203953
336,0.336,7.34498e-05,0.002203494
337,0.337,7.34345e-05,0.002203035
338,0.338,7.34192e-05,0.002202576
339,0.339,7.34039e-05,0.002202117
340,0.34,7.33887e-05,0.002201661
341,0.341,7.33735e-05,0.002201205
342,0.342,7.33583e-05,0.002200749
343,0.343,7.33431e-05,0.002200293
344,0.344,7.3328e-05,0.0021998399999999998
345,0.345,7.33129e-05,0.002199387
346,0.346,7.32978e-05,0.002198934
347,0.347,7.32827e-05,0.002198481
348,0.348,7.32677e-05,0.002198031
349,0.349,7.32527e-05,0.002197581
350,0.35,7.32377e-05,0.0021971309999999997
351,0.351,7.32227e-05,0.0021966810000000002
352,0.352,7.32077e-05,0.002196231
353,0.353,7.31928e-05,0.002195784
354,0.354,7.31779e-05,0.002195337
355,0.355,7.3163e-05,0.00219489
356,0.356,7.31482e-05,0.002194446
357,0.357,7.31334e-05,0.0021940019999999996
358,0.358,7.31186e-05,0.002193558
359,0.359,7.31038e-05,0.002193114
360,0.36,7.3089e-05,0.0021926700000000003
361,0.361,7.30743e-05,0.0021922290000000004
362,0.362,7.30596e-05,0.0021917879999999996
363,0.363,7.30449e-05,0.0021913469999999997
364,0.364,7.30302e-05,0.002190906
365,0.365,7.30156e-05,0.002190468
366,0.366,7.30009e-05,0.0021900269999999998
367,0.367,7.29864e-05,0.0021895919999999998
368,0.368,7.29718e-05,0.002189154
369,0.369,7.29572e-05,0.002188716
370,0.37,7.29427e-05,0.0021882810000000003
371,0.371,7.29282e-05,0.0021878460000000002
372,0.372,7.29137e-05,0.002187411
373,0.373,7.28993e-05,0.002186979
374,0.374,7.28848e-05,0.0021865440000000003
375,0.375,7.28704e-05,0.002186112
376,0.376,7.2856e-05,0.0021856799999999997
377,0.377,7.28417e-05,0.002185251
378,0.378,7.28274e-05,0.002184822
379,0.379,7.2813e-05,0.00218439
380,0.38,7.27987e-05,0.002183961
381,0.381,7.27845e-05,0.002183535
382,0.382,7.27702e-05,0.0021831059999999998
383,0.383,7.2756e-05,0.00218268
384,0.384,7.27418e-05,0.0021822540000000002
385,0.385,7.27276e-05,0.002181828
386,0.386,7.27135e-05,0.002181405
387,0.387,7.26994e-05,0.002180982
