,Emeas[MeV],Cumul,Spectrum[MeV-1]
103,20.869916926623915,5.554275862362574,0.0
104,21.491134661403123,5.554275862362574,0.0
105,22.13084367601641,5.554275862362574,0.0
106,22.789594385255192,5.554275862362574,0.0
107,23.46795358765741,5.554275862362574,0.0
108,24.1665049531892,5.554275862362574,0.0
109,24.885849525442826,5.554275862362574,0.0
110,25.626606238783165,5.554275862362574,0.0
111,26.38941245088776,5.554275862362574,0.0
112,27.174924491138466,5.554275862362574,0.0
113,27.983818225336567,5.554275862362574,0.0
114,28.816789637227515,5.554275862362574,0.0
115,29.67455542733522,5.554275862362574,0.0
116,30.55785362962142,5.554275862362574,0.0
117,31.46744424650074,5.554275862362574,0.0
118,32.4041099027576,5.554275862362574,0.0
119,33.36865651892778,5.554275862362574,0.0
120,34.361914004723964,5.554275862362574,0.0
